iso3c;Country;pos_veg_uninformed;pos_veg_informers;pos_veg_supporters;pos_veg_critics;pb_meat_text;pb_milk_text;pb_dairy_text;pb_meat_graphics;pb_milk_graphics;pb_dairy_graphics;single_meat;single_dairy;eco_pb_pos;eco_ab_neg;sourcepb_protein;sourcepb_iron;sourcepb_calcium;sourcepb_zinc;sourcepb_n3;sourcepb_b12;bfci;year_fbdg;page_length;page_length_sqrt;share_veg;epi;prod_pct_gdp_meat;prod_pct_gdp_dairy;prod_pct_gdp_cereal;prod_pct_gdp_vegfruit;gdpk_per_cap;bfci_nsfg_meat;bfci_nsfg_dairy;bfci_pbs_protein;bfci_pbs_iron;bfci_pbs_calcium;bfci_pbs_zinc;bfci_pbs_n3;bfci_b12;bfci_pba_meat;bfci_pba_milk;bfci_pba_dairy;bfci_rec_veg;bfci_veg_healthy;bfci_veg_eco
AFG;Afghanistan;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;15;2016;80;8.94;28;25.5;-99;-99;-99;-99;0.5092;0;0;3;3;3;3;3;0;0;0;0;0;0;0
ALB;Albania;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;33;2008;78;8.83;7;49;2.9773;3.4938;1.7403;5.826;4.124;19;0;3;3;3;0;3;0;0;0;0;0;0;0
DZA;Algeria;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;8;2.83;22;44.8;3.1856;0.851;0.7661;7.1039;3.9463;19;0;0;0;0;0;0;0;0;0;0;0;0;0
ATG;Antigua and Barbuda;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2013;2;1.41;12;48.5;0.2019;0.9305;-99;1.2365;15.1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARG;Argentina;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;38;2018;143;11.96;12;52.2;3.1259;0.4841;0.8503;0.4349;12.7902;0;0;3;3;3;3;3;5;5;5;0;13;0;0
AUS;Australia;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;89;2013;226;15.03;10;74.9;0.7969;0.2382;0.5932;0.4207;49.9692;19;19;3;3;3;3;3;5;5;5;0;13;9;0
AUT;Austria;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;12;2019;56;7.48;10;79.6;0.5361;0.3262;0.1855;0.205;45.277;0;0;3;3;3;3;0;0;0;0;0;0;0;0
BHS;Bahamas;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2002;2;1.41;12;43.5;-99;-99;-99;-99;31.5646;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BHR;Bahrain;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;8;2.83;22;51;-99;-99;-99;-99;22.6085;19;0;0;0;0;0;0;0;0;0;0;0;0;0
BGD;Bangladesh;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;9;2013;53;7.28;28;29;0.4443;0.4319;5.3514;1.3157;1.4016;0;0;3;0;3;3;0;0;0;0;0;0;0;0
BRB;Barbados;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;6;2017;8;2.83;12;45.6;1.36;0.1084;0.002;0.6387;16.9;0;0;0;3;3;0;0;0;0;0;0;0;0;0
BEL-VLG;Belgium - Flanders;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;64;2017;205;14.32;4;73.3;0.7201;0.2227;0.0659;0.4009;41.9841;0;19;3;3;3;3;3;5;5;5;0;13;0;5
BEL-WAL;Belgium - Wallonia;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;57;2011;66;8.12;10;73.3;0.7201;0.2227;0.0659;0.4009;41.9841;19;19;3;3;3;0;3;0;0;5;0;0;0;0
BLZ;Belize;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;12;2012;38;6.16;12;41.9;4.3767;0.1492;1.9283;5.8562;4.857;0;0;3;3;3;3;0;0;0;0;0;0;0;0
BEN;Benin;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;33;2015;2;1.41;22;30;-99;0.2068;5.0192;2.392;1.0873;19;0;3;3;0;0;0;0;5;5;0;0;0;0
BOL;Bolivia (Plurinational State of);1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;33;2014;102;10.1;12;44.3;6.7265;0.8261;2.0296;1.3601;3.0766;19;0;3;3;3;3;3;0;0;0;0;0;0;0
BRA;Brazil;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;43;2016.5;155;12.45;14;51.2;2.8757;0.6276;0.8918;0.7081;8.7101;0;0;3;3;3;3;3;5;5;5;0;13;0;5
BGR;Bulgaria;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;30;2006;41;6.4;7;57;0.8666;0.7175;2.5638;0.72;7.5489;19;0;3;3;3;0;3;0;0;0;0;0;0;0
CAN;Canada;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;59;2019;69;8.31;7;71;0.6869;0.3049;0.6348;0.1427;42.3157;19;19;3;3;3;0;3;0;5;5;0;0;0;5
CHL;Chile;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2013;4;2;12;55.3;1.3228;0.2411;0.3574;3.9553;13.7536;19;0;0;0;0;0;0;0;0;0;0;0;0;0
CHN;China;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;45;2016;18;4.24;28;37.3;2.6259;0.1596;2.1544;3.6723;8.1477;19;0;3;0;3;0;0;0;5;5;0;13;0;0
HKG;China (Hong Kong);0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;78;2018;7;2.65;3.7;37.3;0.0832;0.0001;-99;0.0123;43.7314;19;19;3;3;3;0;0;0;5;5;0;13;9;0
COL;Colombia;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;30;2015;81;9;6;52.9;1.782;0.6805;0.5517;1.7532;5.8709;19;0;3;3;3;3;0;0;0;0;0;0;0;0
CRI;Costa Rica;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;9;2011;28;5.29;12;52.5;0.6354;0.9145;0.1911;6.8482;12.0112;0;0;3;3;0;3;0;0;0;0;0;0;0;0
CUB;Cuba;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;6;2009;61;7.81;12;48.4;-99;-99;-99;-99;8.0608;0;0;3;3;0;0;0;0;0;0;0;0;0;0
CYP;Cyprus;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;30;2008;16;4;7;64.8;1.0091;0.8443;0.0166;0.5664;17.9057;19;0;0;3;3;0;3;0;5;0;0;0;0;0
DNK;Denmark;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;52;2021;16;4;2.5;82.5;1.0284;0.6089;0.4467;0.0872;54.6647;0;0;3;3;3;3;3;5;5;5;0;13;9;5
DMA;Dominica;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2007;1;1;12;44.6;-99;-99;-99;-99;8.081;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DOM;Dominican Republic;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;12;2009;52;7.21;12;46.3;1.0154;0.4697;0.5017;2.0363;7.2809;0;0;3;3;3;3;0;0;0;0;0;0;0;0
ECU;Ecuador;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;48;2018;240;15.49;12;51;2.681;0.9074;0.9975;2.3396;6.0601;19;19;3;3;0;3;3;0;0;0;0;0;0;0
